SELECT 1x,INSERT 1x,DELETE 1x,SELECT 5x,INSERT 5x,DELETE 5x,SELECT 50x,INSERT 50x,DELETE 50x,SELECT 100x,INSERT 100x,DELETE 100x
3,21,41,17,168,174,178,1548,1889,363,3028,4013
3,13,39,17,131,229,171,1516,1954,385,3087,4182
3,21,22,20,106,131,176,1566,1784,371,3191,4374
3,24,20,17,123,148,176,1545,1873,381,3110,4415
5,19,20,16,149,152,177,1502,1635,376,3133,4188
4,41,25,16,144,128,181,1652,1677,381,2814,4057
6,37,21,16,128,196,181,1504,1845,370,3451,3770
4,18,25,17,128,171,173,1632,1844,377,3157,3480
3,26,41,16,152,165,179,1843,1780,371,2873,3927
3,65,24,18,105,129,177,1459,2107,374,3128,4422
2,16,19,20,148,175,180,1762,2041,370,2983,4013
3,21,25,17,218,144,166,1718,1800,366,3266,3888
3,23,65,17,112,173,175,1500,1871,378,3450,4188
5,19,26,16,106,146,176,1678,2099,364,3539,4166
5,26,20,16,127,131,175,1568,2015,377,3178,3928
2,21,45,19,106,128,167,1568,1762,373,2894,4164
5,40,38,24,107,122,201,1435,2081,372,3237,4104
5,18,20,17,169,168,176,1566,1884,375,3176,3609
5,25,42,18,193,165,181,1590,1867,366,3072,4037
3,20,40,17,150,197,172,1501,1972,370,2939,3604
3,39,21,16,176,108,176,1613,1715,378,3324,4183
3,42,43,18,191,169,169,1782,2190,382,3324,4248
3,41,41,16,172,193,178,1307,1823,382,3111,3840
3,25,41,17,108,193,176,1524,1933,371,3220,4119
3,46,38,17,111,252,173,1816,1974,383,3004,4182
3,41,42,23,109,148,174,1462,1658,369,3162,3881
3,42,37,19,152,189,183,1650,1929,386,2874,4330
3,38,42,18,211,127,185,1523,2079,372,3153,3907
8,26,41,18,154,127,175,1762,1884,383,2809,4609
3,40,27,17,193,128,175,1690,1906,364,3132,4201
2,20,41,23,210,148,184,1883,1847,367,3153,3751
